0 请简要介绍一下贵校的基本情况？ 中国科学院大学简称“国科大”，是一所以科教融合为办学模式、研究生
True	中国科学院大学简称“国科大”，是一所以科教融合为办学模式、研究生教育为办学主体、精英化本科教育为办学特色的创新型大学。其前身为成立于1978年的中国科学院研究生院，长期以来主要从事博士、硕士研究生的教育和培养工作，2012年更名为中国科学院大学，自2014年开始招收本科生。
基本情况	0	中国科学院大学简称“国科大”，是一所以科教融合为办学模式、研究生教育为办学主体、精英化本科教育为办学特色的创新型大学。其前身为成
第一顺序院校	63	实行平行志愿的省市按照“分数优先，遵循志愿”的原则投档。在考生预估自己分数可以达到国科大水平的情况下，为增加被我校录取的可能性，
影响其他高校的录取	61	不被我校在综合评价提前批次录取时，不会影响考生进入本科批次的录取。本科普通批次仍然可以继续报考我校。
“院校专业组”的志愿模式	23	“院校专业组”指的是某一高校对考生选考科目要求相同的专业的组合。一所院校可设置一个或多个“院校专业组”，每个“院校专业组”内可包
面向招生	44	面向招生是指省内有关院校（专业）专门面向某市、县（区）招生。报考省内院校（专业）面向某市、县（区）招生的考生，须具有该市、县（区
筛选普通类院校专业组和专业	27	考生可通过以下“两步骤”筛选普通类意向院校专业组和专业。第一步：通过成绩位次进行初步筛选。高考成绩位次是判断志愿填报准确性的标尺
对应高校专业选考科目	25	依据教育部有关文件要求，每所高校都要提出本校各个招生专业的选考科目要求。考生应对应高校招生专业的选考科目要求，精准报考。一是要符
填报了其他高校的专项计划	62	只要没有被其他高校通过保送生等方式正式录取，就可以报考我校。国科大对所有报考我校的考生都是欢迎的，不以任何理由排斥考生报考。
医学类定向招生	42	为加强我省基层医学人才培养，省卫健委会同相关部门组织实施医学类定向招生计划。近年来，省卫健委协调省教育厅安排福建医科大学、福建中
招收多少本科生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
高校专项计划	38	高校专项计划，是国家为更好地促进教育公平、让更多的农村学生上优质高校而出台的一项优惠政策，面向农村和原贫困地区招收勤奋好学、成绩
招生录取信息发布官方渠道是什么？	45	我省教育招生考试信息官方发布渠道为：（1）福建省教育厅网站（http://jyt.fujian.gov.cn/）和微信公众号“福
农林类定向招生	43	为加强我省基层农林人才培养，省农业农村厅会同相关部门组织实施农林类定向招生计划。近年来，省农业农村厅协调省教育厅安排福建农林大学
在哪些省市招生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
军训	80	需要参加不少于2周的军训，这是教育部要求的必修课。
公费师范生教育	41	为鼓励优秀高中毕业生报考师范专业，鼓励优秀青年长期从教，培养造就一大批优秀中小学教师，国家和我省实施公费师范生教育政策。其中，国
如何报考	58	2021年国科大的本科招生有传统的高考方式和“综合评价”选拔两种方式。传统高考方式按相关省市公布的报考方式报考，届时请考生关注省
各类别招生录取批次	15	（1）普通类录取分为本科提前批、本科批和高职（专科）批3个批次。2）艺术类录取分为本科提前批、本科批（含省考阶段、校考阶段）和高
招生办	13	国科大招生办公室联系方式：尹老师、陈老师：010-88256215
招生计划编制	34	2021年，我省普通高校招生类别分为普通类、艺术类、体育类，各类招生计划按照物理科目组合、历史科目组合两类分列编制。高校根据经济
联系国外高校	81	国科大背靠中科院，有着广泛的国际交流，在国外拥有很高的认可度。按我校安排，大部分学生在本科第三学年或第四学年会有一个学期的出国交
校区	46	国科大在北京有四个校区——分别为：玉泉路、中关村、奥运村、雁栖湖校区。国科大的中关村校区，位于拥有“中国硅谷”之称的中关村地区，
学业导师辅导	78	国科大在中科院各相关研究所中遴选了一支由院士、“杰青”等组成的高水平学业导师队伍，每个本科生可根据自己的专业兴趣在他们中间选择一
就业情况	87	我校培养的本科生大部分会选择继续深造，截至2020年11月，2020届共有368名本科生顺利毕业，超过325人直接深造，其中出国
招生	4	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
新增招生专业	7	我校今年新增心理学、人工智能两个专业，招生专业为15个，其余13个分别为：数学与应用数学、物理学、化学、天文学、人文地理与城乡规
特殊类型招生录取控制分数线	36	省招委会根据高校在我省的招生计划数和考生的统考成绩，按照物理科目组合、历史科目组合按类（普通类、艺术类、体育类）确定各批次录取控
中学生夏令营	84	我校以前每年在7月中旬都会举办中学生科学夏令营。夏令营主要面向刚结束高二课程的学生。2020年由于疫情影响未举办。2021年夏令
具体调档比例	74	100%。
转专业规定	8	我校尊重学生兴趣，强调学科交叉。每名新生入学后的第一阶段课程相同，并允许在大一下学期、大二上学期根据个人兴趣重新选报专业，不设比
学业导师分配	79	本科生学业导师的配置实行师生之间双向选择。学生先填导师申请表，每个学生可以选择三个志愿导师，学校通过组织师生见面交流等方式确定。
选考科目要求	55	在实行新高考改革的省份，国科大有选考科目要求
right	1.0	1.0
1 2021年在福建省的招生计划是怎样的？ 2021年，我校在福建省的招生计划与往年相同，通过“统考”的方式
True	2021年，我校在福建省的招生计划与往年相同，通过“统考”的方式录取20人。
招生计划	1	2021年，我校在福建省的招生计划与往年相同，通过“统考”的方式录取20人。
招生计划编制	34	2021年，我省普通高校招生类别分为普通类、艺术类、体育类，各类招生计划按照物理科目组合、历史科目组合两类分列编制。高校根据经济
在哪些省市招生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
招收多少本科生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
招生	4	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
面向招生	44	面向招生是指省内有关院校（专业）专门面向某市、县（区）招生。报考省内院校（专业）面向某市、县（区）招生的考生，须具有该市、县（区
各类别招生录取批次	15	（1）普通类录取分为本科提前批、本科批和高职（专科）批3个批次。2）艺术类录取分为本科提前批、本科批（含省考阶段、校考阶段）和高
农林类定向招生	43	为加强我省基层农林人才培养，省农业农村厅会同相关部门组织实施农林类定向招生计划。近年来，省农业农村厅协调省教育厅安排福建农林大学
录取分数	2	2018年、2019年、2020年我校在福建的录取分数线分别为：理科665分、理科654分、理科675分。
高校专项计划	38	高校专项计划，是国家为更好地促进教育公平、让更多的农村学生上优质高校而出台的一项优惠政策，面向农村和原贫困地区招收勤奋好学、成绩
医学类定向招生	42	为加强我省基层医学人才培养，省卫健委会同相关部门组织实施医学类定向招生计划。近年来，省卫健委协调省教育厅安排福建医科大学、福建中
查询选择性考试科目的要求	24	各院校专业组对选择性考试科目的要求详见省教育考试院公布的《福建省2021年普通高校招生计划》。在志愿填报前，省教育考试院将推出“
招生录取信息发布官方渠道是什么？	45	我省教育招生考试信息官方发布渠道为：（1）福建省教育厅网站（http://jyt.fujian.gov.cn/）和微信公众号“福
强基计划	52	国科大可以接收享受教育部保送政策且生源地在我校招生省市范围的保送生。除此之外，国科大2021年本科招生在北京、江苏、陕西、湖南、
地方农村专项计划	39	地方农村专项招生计划，是根据国家及省里相关政策，近年来我省组织省属高校实施的地方农村专项招生计划，面向我省23个县招生。实施地方
招生录取规则	3	由于福建是新高考改革的省份之一，考生填报志愿，一方面高考选考科目要满足拟报考专业组对选考科目的要求，同时也要充分考虑自己的学科兴
填报了其他高校的专项计划	62	只要没有被其他高校通过保送生等方式正式录取，就可以报考我校。国科大对所有报考我校的考生都是欢迎的，不以任何理由排斥考生报考。
招生办	13	国科大招生办公室联系方式：尹老师、陈老师：010-88256215
“院校专业组”的志愿模式	23	“院校专业组”指的是某一高校对考生选考科目要求相同的专业的组合。一所院校可设置一个或多个“院校专业组”，每个“院校专业组”内可包
完全通过高考选拔	65	不需要。在福建、辽宁、云南、河南、湖北5个完全通过高考选拔的省，考生直接参加本省高考报名和填报志愿即可，我校只按高考成绩录取，录
招收第二志愿	54	在录取实行梯度志愿批次的考生时，若第一志愿生源不足，则由高考总分或综合评价总成绩从高到低录取第二志愿考生。事实上，我校生源充裕，
对应高校专业选考科目	25	依据教育部有关文件要求，每所高校都要提出本校各个招生专业的选考科目要求。考生应对应高校招生专业的选考科目要求，精准报考。一是要符
新增招生专业	7	我校今年新增心理学、人工智能两个专业，招生专业为15个，其余13个分别为：数学与应用数学、物理学、化学、天文学、人文地理与城乡规
特殊类型招生录取控制分数线	36	省招委会根据高校在我省的招生计划数和考生的统考成绩，按照物理科目组合、历史科目组合按类（普通类、艺术类、体育类）确定各批次录取控
招生组	14	国科大福建招生组联系方式：李老师（北京）：13691336766 张老师（福州）：13959187540 王老师（厦门）：136
就业情况	87	我校培养的本科生大部分会选择继续深造，截至2020年11月，2020届共有368名本科生顺利毕业，超过325人直接深造，其中出国
平行志愿投档	32	平行志愿按照“分数（位次）优先、遵循志愿、一轮投档、一档一投”的原则进行投档。一是“分数（位次）优先”。即：考生与考生之间比位次
选考科目要求	55	在实行新高考改革的省份，国科大有选考科目要求
公费师范生教育	41	为鼓励优秀高中毕业生报考师范专业，鼓励优秀青年长期从教，培养造就一大批优秀中小学教师，国家和我省实施公费师范生教育政策。其中，国
本科一批次	60	北京、江苏、陕西、湖南、浙江、山东、四川等7个省市除提前批次外，还在本科一批次投放了计划，本科一批次招录的考生均通过高考统考方式
填报志愿	26	填报高考志愿，考生要结合国家、社会、行业发展需要和自身实际，重点考虑以下因素：1）成绩和位次高低。这是考生被录取的基础因素，直接
推荐免试读研	83	我校2021届本科毕业生保研名额为163人，推免比例为41%。
right	1.0	1.0
2 近三年贵校在福建的录取分数是多少？ 2018年、2019年、2020年我校在福建的录取分数线分别为：
True	2018年、2019年、2020年我校在福建的录取分数线分别为：理科665分、理科654分、理科675分。
录取分数	2	2018年、2019年、2020年我校在福建的录取分数线分别为：理科665分、理科654分、理科675分。
招收多少本科生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
在哪些省市招生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
完全通过高考选拔	65	不需要。在福建、辽宁、云南、河南、湖北5个完全通过高考选拔的省，考生直接参加本省高考报名和填报志愿即可，我校只按高考成绩录取，录
填报了其他高校的专项计划	62	只要没有被其他高校通过保送生等方式正式录取，就可以报考我校。国科大对所有报考我校的考生都是欢迎的，不以任何理由排斥考生报考。
对应高校专业选考科目	25	依据教育部有关文件要求，每所高校都要提出本校各个招生专业的选考科目要求。考生应对应高校招生专业的选考科目要求，精准报考。一是要符
招生	4	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
影响其他高校的录取	61	不被我校在综合评价提前批次录取时，不会影响考生进入本科批次的录取。本科普通批次仍然可以继续报考我校。
查询选择性考试科目的要求	24	各院校专业组对选择性考试科目的要求详见省教育考试院公布的《福建省2021年普通高校招生计划》。在志愿填报前，省教育考试院将推出“
招生录取信息发布官方渠道是什么？	45	我省教育招生考试信息官方发布渠道为：（1）福建省教育厅网站（http://jyt.fujian.gov.cn/）和微信公众号“福
各类别招生录取批次	15	（1）普通类录取分为本科提前批、本科批和高职（专科）批3个批次。2）艺术类录取分为本科提前批、本科批（含省考阶段、校考阶段）和高
面向招生	44	面向招生是指省内有关院校（专业）专门面向某市、县（区）招生。报考省内院校（专业）面向某市、县（区）招生的考生，须具有该市、县（区
招生计划	1	2021年，我校在福建省的招生计划与往年相同，通过“统考”的方式录取20人。
招生录取规则	3	由于福建是新高考改革的省份之一，考生填报志愿，一方面高考选考科目要满足拟报考专业组对选考科目的要求，同时也要充分考虑自己的学科兴
“院校专业组”的志愿模式	23	“院校专业组”指的是某一高校对考生选考科目要求相同的专业的组合。一所院校可设置一个或多个“院校专业组”，每个“院校专业组”内可包
医学类定向招生	42	为加强我省基层医学人才培养，省卫健委会同相关部门组织实施医学类定向招生计划。近年来，省卫健委协调省教育厅安排福建医科大学、福建中
公费师范生教育	41	为鼓励优秀高中毕业生报考师范专业，鼓励优秀青年长期从教，培养造就一大批优秀中小学教师，国家和我省实施公费师范生教育政策。其中，国
选考科目要求	55	在实行新高考改革的省份，国科大有选考科目要求
农林类定向招生	43	为加强我省基层农林人才培养，省农业农村厅会同相关部门组织实施农林类定向招生计划。近年来，省农业农村厅协调省教育厅安排福建农林大学
被录取不想去	71	高考是按批次顺序录取的。考生在提前批次被录取，便无法进入下一批次再录取。高考志愿一旦正式提交，就不能更改了。
具体调档比例	74	100%。
特殊类型招生录取控制分数线	36	省招委会根据高校在我省的招生计划数和考生的统考成绩，按照物理科目组合、历史科目组合按类（普通类、艺术类、体育类）确定各批次录取控
新增招生专业	7	我校今年新增心理学、人工智能两个专业，招生专业为15个，其余13个分别为：数学与应用数学、物理学、化学、天文学、人文地理与城乡规
推荐免试读研	83	我校2021届本科毕业生保研名额为163人，推免比例为41%。
降分录取	73	在我校实行综合评价的省市，竞赛获奖等情况在面试入围时予以适当考虑。在普通高考的省份，我校严格按高考成绩（含加分）录取。
招收第二志愿	54	在录取实行梯度志愿批次的考生时，若第一志愿生源不足，则由高考总分或综合评价总成绩从高到低录取第二志愿考生。事实上，我校生源充裕，
本科一批次	60	北京、江苏、陕西、湖南、浙江、山东、四川等7个省市除提前批次外，还在本科一批次投放了计划，本科一批次招录的考生均通过高考统考方式
招生办	13	国科大招生办公室联系方式：尹老师、陈老师：010-88256215
校区	46	国科大在北京有四个校区——分别为：玉泉路、中关村、奥运村、雁栖湖校区。国科大的中关村校区，位于拥有“中国硅谷”之称的中关村地区，
联系国外高校	81	国科大背靠中科院，有着广泛的国际交流，在国外拥有很高的认可度。按我校安排，大部分学生在本科第三学年或第四学年会有一个学期的出国交
国际上认可程度	81	国科大背靠中科院，有着广泛的国际交流，在国外拥有很高的认可度。按我校安排，大部分学生在本科第三学年或第四学年会有一个学期的出国交
就业情况	87	我校培养的本科生大部分会选择继续深造，截至2020年11月，2020届共有368名本科生顺利毕业，超过325人直接深造，其中出国
right	1.0	1.0
3 2021年贵校的招生录取规则有哪些？ 由于福建是新高考改革的省份之一，考生填报志愿，一方面高考选考科目
True	由于福建是新高考改革的省份之一，考生填报志愿，一方面高考选考科目要满足拟报考专业组对选考科目的要求，同时也要充分考虑自己的学科兴趣和爱好。我校在福建的招生计划今年全部放在本科普通批次录取，录取时不设专业分数级差。同一院校专业组内进档考生按投档总分排序，依次由高到低选择专业志愿。总分相同时，按省高招办录取规则规定的单科分项分数从高到低排序。我校投档比例为100%。
招生录取规则	3	由于福建是新高考改革的省份之一，考生填报志愿，一方面高考选考科目要满足拟报考专业组对选考科目的要求，同时也要充分考虑自己的学科兴
招收多少本科生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
各类别招生录取批次	15	（1）普通类录取分为本科提前批、本科批和高职（专科）批3个批次。2）艺术类录取分为本科提前批、本科批（含省考阶段、校考阶段）和高
在哪些省市招生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
招生计划	1	2021年，我校在福建省的招生计划与往年相同，通过“统考”的方式录取20人。
录取分数	2	2018年、2019年、2020年我校在福建的录取分数线分别为：理科665分、理科654分、理科675分。
查询选择性考试科目的要求	24	各院校专业组对选择性考试科目的要求详见省教育考试院公布的《福建省2021年普通高校招生计划》。在志愿填报前，省教育考试院将推出“
对应高校专业选考科目	25	依据教育部有关文件要求，每所高校都要提出本校各个招生专业的选考科目要求。考生应对应高校招生专业的选考科目要求，精准报考。一是要符
招生计划编制	34	2021年，我省普通高校招生类别分为普通类、艺术类、体育类，各类招生计划按照物理科目组合、历史科目组合两类分列编制。高校根据经济
招生	4	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
面向招生	44	面向招生是指省内有关院校（专业）专门面向某市、县（区）招生。报考省内院校（专业）面向某市、县（区）招生的考生，须具有该市、县（区
填报了其他高校的专项计划	62	只要没有被其他高校通过保送生等方式正式录取，就可以报考我校。国科大对所有报考我校的考生都是欢迎的，不以任何理由排斥考生报考。
选考科目要求	55	在实行新高考改革的省份，国科大有选考科目要求
转专业规定	8	我校尊重学生兴趣，强调学科交叉。每名新生入学后的第一阶段课程相同，并允许在大一下学期、大二上学期根据个人兴趣重新选报专业，不设比
完全通过高考选拔	65	不需要。在福建、辽宁、云南、河南、湖北5个完全通过高考选拔的省，考生直接参加本省高考报名和填报志愿即可，我校只按高考成绩录取，录
医学类定向招生	42	为加强我省基层医学人才培养，省卫健委会同相关部门组织实施医学类定向招生计划。近年来，省卫健委协调省教育厅安排福建医科大学、福建中
特殊类型招生录取控制分数线	36	省招委会根据高校在我省的招生计划数和考生的统考成绩，按照物理科目组合、历史科目组合按类（普通类、艺术类、体育类）确定各批次录取控
推荐免试读研	83	我校2021届本科毕业生保研名额为163人，推免比例为41%。
影响其他高校的录取	61	不被我校在综合评价提前批次录取时，不会影响考生进入本科批次的录取。本科普通批次仍然可以继续报考我校。
招生办	13	国科大招生办公室联系方式：尹老师、陈老师：010-88256215
招生录取信息发布官方渠道是什么？	45	我省教育招生考试信息官方发布渠道为：（1）福建省教育厅网站（http://jyt.fujian.gov.cn/）和微信公众号“福
农林类定向招生	43	为加强我省基层农林人才培养，省农业农村厅会同相关部门组织实施农林类定向招生计划。近年来，省农业农村厅协调省教育厅安排福建农林大学
被录取不想去	71	高考是按批次顺序录取的。考生在提前批次被录取，便无法进入下一批次再录取。高考志愿一旦正式提交，就不能更改了。
新增招生专业	7	我校今年新增心理学、人工智能两个专业，招生专业为15个，其余13个分别为：数学与应用数学、物理学、化学、天文学、人文地理与城乡规
如何报考	58	2021年国科大的本科招生有传统的高考方式和“综合评价”选拔两种方式。传统高考方式按相关省市公布的报考方式报考，届时请考生关注省
具体调档比例	74	100%。
招收第二志愿	54	在录取实行梯度志愿批次的考生时，若第一志愿生源不足，则由高考总分或综合评价总成绩从高到低录取第二志愿考生。事实上，我校生源充裕，
降分录取	73	在我校实行综合评价的省市，竞赛获奖等情况在面试入围时予以适当考虑。在普通高考的省份，我校严格按高考成绩（含加分）录取。
就业情况	87	我校培养的本科生大部分会选择继续深造，截至2020年11月，2020届共有368名本科生顺利毕业，超过325人直接深造，其中出国
“院校专业组”的志愿模式	23	“院校专业组”指的是某一高校对考生选考科目要求相同的专业的组合。一所院校可设置一个或多个“院校专业组”，每个“院校专业组”内可包
国际上认可程度	81	国科大背靠中科院，有着广泛的国际交流，在国外拥有很高的认可度。按我校安排，大部分学生在本科第三学年或第四学年会有一个学期的出国交
中学生夏令营	84	我校以前每年在7月中旬都会举办中学生科学夏令营。夏令营主要面向刚结束高二课程的学生。2020年由于疫情影响未举办。2021年夏令
right	1.0	1.0
4 今年在福建省招生有什么变化？ 今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本
True	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
面向招生	44	面向招生是指省内有关院校（专业）专门面向某市、县（区）招生。报考省内院校（专业）面向某市、县（区）招生的考生，须具有该市、县（区
招生	4	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
农林类定向招生	43	为加强我省基层农林人才培养，省农业农村厅会同相关部门组织实施农林类定向招生计划。近年来，省农业农村厅协调省教育厅安排福建农林大学
招生计划	1	2021年，我校在福建省的招生计划与往年相同，通过“统考”的方式录取20人。
在哪些省市招生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
医学类定向招生	42	为加强我省基层医学人才培养，省卫健委会同相关部门组织实施医学类定向招生计划。近年来，省卫健委协调省教育厅安排福建医科大学、福建中
招收多少本科生	50	2021年，国科大将在北京、江苏、浙江、山东、陕西、四川、河南、湖南、云南、辽宁、湖北、福建12个省市预计招收本科生合计400名
招生录取信息发布官方渠道是什么？	45	我省教育招生考试信息官方发布渠道为：（1）福建省教育厅网站（http://jyt.fujian.gov.cn/）和微信公众号“福
招生计划编制	34	2021年，我省普通高校招生类别分为普通类、艺术类、体育类，各类招生计划按照物理科目组合、历史科目组合两类分列编制。高校根据经济
录取分数	2	2018年、2019年、2020年我校在福建的录取分数线分别为：理科665分、理科654分、理科675分。
招生办	13	国科大招生办公室联系方式：尹老师、陈老师：010-88256215
招生录取规则	3	由于福建是新高考改革的省份之一，考生填报志愿，一方面高考选考科目要满足拟报考专业组对选考科目的要求，同时也要充分考虑自己的学科兴
各类别招生录取批次	15	（1）普通类录取分为本科提前批、本科批和高职（专科）批3个批次。2）艺术类录取分为本科提前批、本科批（含省考阶段、校考阶段）和高
新增招生专业	7	我校今年新增心理学、人工智能两个专业，招生专业为15个，其余13个分别为：数学与应用数学、物理学、化学、天文学、人文地理与城乡规
完全通过高考选拔	65	不需要。在福建、辽宁、云南、河南、湖北5个完全通过高考选拔的省，考生直接参加本省高考报名和填报志愿即可，我校只按高考成绩录取，录
招生组	14	国科大福建招生组联系方式：李老师（北京）：13691336766 张老师（福州）：13959187540 王老师（厦门）：136
填报了其他高校的专项计划	62	只要没有被其他高校通过保送生等方式正式录取，就可以报考我校。国科大对所有报考我校的考生都是欢迎的，不以任何理由排斥考生报考。
特殊类型招生录取控制分数线	36	省招委会根据高校在我省的招生计划数和考生的统考成绩，按照物理科目组合、历史科目组合按类（普通类、艺术类、体育类）确定各批次录取控
查询选择性考试科目的要求	24	各院校专业组对选择性考试科目的要求详见省教育考试院公布的《福建省2021年普通高校招生计划》。在志愿填报前，省教育考试院将推出“
招收第二志愿	54	在录取实行梯度志愿批次的考生时，若第一志愿生源不足，则由高考总分或综合评价总成绩从高到低录取第二志愿考生。事实上，我校生源充裕，
选考科目要求	55	在实行新高考改革的省份，国科大有选考科目要求
对应高校专业选考科目	25	依据教育部有关文件要求，每所高校都要提出本校各个招生专业的选考科目要求。考生应对应高校招生专业的选考科目要求，精准报考。一是要符
“院校专业组”的志愿模式	23	“院校专业组”指的是某一高校对考生选考科目要求相同的专业的组合。一所院校可设置一个或多个“院校专业组”，每个“院校专业组”内可包
变化	4	今年，我校总的招生数与去年相同，为20人。主要是由提前批次转为本科批次，新增心理学、人工智能两个专业，招生专业增至为15个。
被录取不想去	71	高考是按批次顺序录取的。考生在提前批次被录取，便无法进入下一批次再录取。高考志愿一旦正式提交，就不能更改了。
